time,diff,wp,sport
0,Up 10-19,1,Basketball
0,Up 1-9,0.6162601626016259,Basketball
0,Tie Game,0.5408323078644124,Basketball
0,Down 1-9,0.4580536912751676,Basketball
0,Down 10-19,0,Basketball
3,Up 10-19,0.6911764705882352,Basketball
3,Up 1-9,0.6339169909208825,Basketball
3,Tie Game,0.5366415410385259,Basketball
3,Down 1-9,0.4172888015717093,Basketball
3,Down 10-19,0.25531914893617025,Basketball
6,Up 10-19,0.8270676691729323,Basketball
6,Up 1-9,0.6538382383206414,Basketball
6,Tie Game,0.528662420382165,Basketball
6,Down 1-9,0.42340832934418354,Basketball
6,Down 10-19,0.24497991967871485,Basketball
6,Down 20-29,0,Basketball
9,Up 20-29,1,Basketball
9,Up 10-19,0.831168831168831,Basketball
9,Up 1-9,0.6720061022120518,Basketball
9,Tie Game,0.5332509270704585,Basketball
9,Down 1-9,0.39043478260869585,Basketball
9,Down 10-19,0.25186567164179086,Basketball
9,Down 20-29,0,Basketball
12,Up 20-29,1,Basketball
12,Up 10-19,0.8502894954507858,Basketball
12,Up 1-9,0.6697090701654309,Basketball
12,Tie Game,0.5198304571601583,Basketball
12,Down 1-9,0.37414515773218576,Basketball
12,Down 10-19,0.20951417004048614,Basketball
12,Down 20-29,0.15789473684210523,Basketball
15,Up 20-29,1,Basketball
15,Up 10-19,0.8602054488610984,Basketball
15,Up 1-9,0.6639871382636665,Basketball
15,Tie Game,0.5105582875325427,Basketball
15,Down 1-9,0.378762067007382,Basketball
15,Down 10-19,0.2398609501738122,Basketball
15,Down 20-29,0.1927710843373495,Basketball
18,Up 20-29,1,Basketball
18,Up 10-19,0.872014420910321,Basketball
18,Up 1-9,0.6588481675392672,Basketball
18,Tie Game,0.48428755919070193,Basketball
18,Down 1-9,0.37479387514723134,Basketball
18,Down 10-19,0.22977146386658445,Basketball
18,Down 20-29,0.055555555555555684,Basketball
21,Up 30+,1,Basketball
21,Up 20-29,0.9954954954954955,Basketball
21,Up 10-19,0.8887096774193539,Basketball
21,Up 1-9,0.6510936504565717,Basketball
21,Tie Game,0.4494204425711275,Basketball
21,Down 1-9,0.36701481661403945,Basketball
21,Down 10-19,0.23025952512424058,Basketball
21,Down 20-29,0.01843317972350236,Basketball
21,Down 30+,0,Basketball
24,Up 30+,1,Basketball
24,Up 20-29,0.977491961414791,Basketball
24,Up 10-19,0.8965383119408786,Basketball
24,Up 1-9,0.6619256017505472,Basketball
24,Tie Game,0.4705882352941181,Basketball
24,Down 1-9,0.3597344083471668,Basketball
24,Down 10-19,0.20749871597329222,Basketball
24,Down 20-29,0.031007751937984444,Basketball
24,Down 30+,0,Basketball
27,Up 30+,1,Basketball
27,Up 20-29,0.9897470950102528,Basketball
27,Up 10-19,0.9127310061601639,Basketball
27,Up 1-9,0.6603156274056955,Basketball
27,Tie Game,0.47700969659055165,Basketball
27,Down 1-9,0.3430111986727502,Basketball
27,Down 10-19,0.15610036391495868,Basketball
27,Down 20-29,0.0242914979757085,Basketball
27,Down 30+,0,Basketball
30,Up 30+,1,Basketball
30,Up 20-29,0.9734939759036144,Basketball
30,Up 10-19,0.8993288590604026,Basketball
30,Up 1-9,0.6874622660495063,Basketball
30,Tie Game,0.4858886346300533,Basketball
30,Down 1-9,0.3422832980972509,Basketball
30,Down 10-19,0.14068036853295565,Basketball
30,Down 20-29,0.016920473773265596,Basketball
30,Down 30+,0,Basketball
33,Up 30+,1,Basketball
33,Up 20-29,0.980544747081712,Basketball
33,Up 10-19,0.8975265017667846,Basketball
33,Up 1-9,0.6957768508863402,Basketball
33,Tie Game,0.45171026156941635,Basketball
33,Down 1-9,0.3402719955592563,Basketball
33,Down 10-19,0.14023086789226177,Basketball
33,Down 20-29,0.005059021922428311,Basketball
33,Down 30+,0,Basketball
36,Up 30+,1,Basketball
36,Up 20-29,0.9860365198711062,Basketball
36,Up 10-19,0.9026315789473688,Basketball
36,Up 1-9,0.7133188955062261,Basketball
36,Tie Game,0.48066875653082575,Basketball
36,Down 1-9,0.3070562293274536,Basketball
36,Down 10-19,0.1279560810810813,Basketball
36,Down 20-29,0.016369047619047714,Basketball
36,Down 30+,0,Basketball
39,Up 30+,1,Basketball
39,Up 20-29,0.9888097660223805,Basketball
39,Up 10-19,0.9309420046932616,Basketball
39,Up 1-9,0.701545134182703,Basketball
39,Tie Game,0.5010822510822512,Basketball
39,Down 1-9,0.319032536711777,Basketball
39,Down 10-19,0.09967320261437879,Basketball
39,Down 20-29,0.0068681318681318064,Basketball
39,Down 30+,0,Basketball
42,Up 30+,1,Basketball
